Customer,full_addy,Latitude,Longitude,Partner,Current
Sodexo at Federal Reserve Bank of St. Louis,"1 FEDERAL RESERVE BANK PLAZA, ST. LOUIS, MO",38.62837,-90.18819,Sodexo,0
Sodexo General Mills Foodservice,"1 GENERAL MILLS BLVD, MINNEAPOLIS, MN",44.9755805,-93.39097617,Sodexo,0
Osceola Regional Medical Center - Sodexo,"1 RENAISSANCE BOULEVARD, VILLA PARK, IL",41.84828402,-87.98135302,Sodexo,0
Anserteam @ Phipps Conservatory and Botanical Gardens,"1 SCHENLEY DRIVE, PITTSBURGH, PA",40.44070902,-79.94820744,Sodexo,1
Sodexo @ Tampa General Hospital,"1 TAMPA GENERAL CIR, TAMPA, FL",27.93845401,-82.45970901,Sodexo,0
Sodexo at Tampa General Hospital,"1 TAMPA GENERAL CIRCLE, TAMPA, FL",27.93845401,-82.45970901,Sodexo,0
Anserteam @ Lipscomb University,"1 UNIVERSITY PARK DRIVE, NASHVILLE, TN",36.10628501,-86.79801798,Sodexo,1
Anserteam @ Arizona Christian University,"1 W. FIRESTORM WAY, GLENDALE, AZ",33.62111807,-112.1806561,Sodexo,1
Anserteam @ Huntington Place Detroit,"1 WASHINGTON BOULEVARD, DETROIT, MI",42.32666799,-83.04964597,Sodexo,1
Sodexo Live @ Indiana Convention Center,"100 SOUTH CAPITOL AVENUE, INDIANAPOLIS, IN",39.76501601,-86.16448499,Sodexo,0
Rollins College - Sodexo,"1000 HOLT AVE, WINTER PARK, FL",28.59215998,-81.34623202,Sodexo,0
Sodexo at Federal Reserve Bank Atlanta,"1000 PEACHTREE ST NE, ATLANTA, GA",33.78227202,-84.38523401,Sodexo,0
Anserteam @ Delta Air Lines Training Center,"1021 N. OUTER LOOP ROAD, EAST POINT , GA",33.65784908,-84.42489131,Sodexo,0
Anserteam @ Delta World HQ Admin Building,"1030 DELTA BLVD., ATLANTA, GA",33.65643473,-84.42313308,Sodexo,1
Sodexo | Copper Springs,"10550 WEST MCDOWELL ROAD, AVONDALE, AZ",33.46538223,-112.2877377,Sodexo,0
Inspired Living Ocoee @ Sodexo,"1061 TOMYN BLVD, OCOEE, FL",28.53886901,-81.55488097,Sodexo,0
Sodexo - Gateway Community College,"108 N 40TH ST, PHOENIX, AZ",33.44927539,-111.9966136,Sodexo,0
Anserteam @ Sodexo Inspired Living at Lewisville,"1080 W ROUND GROVE RD, LEWISVILLE,  TX ",33.00481299,-97.017436,Sodexo,0
Sodexo at ManorCare North Hills,"1105 PERRY HWY, PITTSBURGH, PA",40.546402,-80.03740999,Sodexo,0
Anserteam @ Google Midtown Atlanta,"1105 WEST PEACHTREE STREET, ATLANTA, GA",33.78477301,-84.38752897,Sodexo,1
Anserteam @ UPS Smart Hub,"1110 FULTON INDUSTRIAL BLVD. , ATLANTA, GA",33.78385383,-84.50663579,Sodexo,1
Anserteam @ Winthrop University,"112 THOMSON HALL, ROCK HILL, SC",34.93271629,-81.01906952,Sodexo,1
Anserteam @ Sodexo Inspired Living at Alpharetta,"11450 MORRIS RD, ALPHARETTA, GA",34.06570499,-84.27137298,Sodexo,0
Sodexo at Hazelden Betty Ford Foundation,"11505 36TH AVENUE NORTH, PLYMOUTH, MN",45.020634,-93.42581798,Sodexo,0
Webber International University- Sodexo,"1201 NORTH SCENIC HIGHWAY, BABSON PARK, FL",27.837425,-81.53092901,Sodexo,0
Anserteam @ Michigan Stadium,"1201 S MAIN ST, ANN ARBOR, MI",42.26587199,-83.748678,Sodexo,1
Sodexo - Phoenix College,"1202 W THOMAS RD, PHOENIX, AZ",33.48216498,-112.0875569,Sodexo,0
Sodexo @ UPS Supply Chain Solutions  Alpharetta,"12380 MORRIS RD, ALPHARETTA, GA",34.081304,-84.26354797,Sodexo,0
Anserteam @ Unisen Senior Living,"12401 N. 22ND STREET, TAMPA, FL",28.06250299,-82.435445,Sodexo,0
Sodexo | The Alton Assisted Living,"1306 ALTON STREET, SAINT PAUL, MN",44.90250998,-93.16540398,Sodexo,0
SodexoMagic @ Walt Disney World ,"1375 E BUENA VISTA DR, ORLANDO, FL",28.36552899,-81.52133098,Sodexo,0
Sodexo @ Central Florida Regional Hospital,"1401 W SEMINOLE BLVD,, SANFORD, FL",28.81403772,-81.28367234,Sodexo,0
Sodexo | Jackson South Medical Center,"1611 NORTHWEST 12TH AVENUE, MIAMI, FL",25.791938,-80.21269897,Sodexo,0
Sodexo at Atrium Health Behavioral Health Davidson,"16740 DAVIDSON-CONCORD ROAD, SUITE 100, DAVIDSON, NC",35.44929698,-80.78533601,Sodexo,0
Sodexo @ USAA - Tampa,"17200 COMMERCE PARK BLVD, TAMPA,, FL",28.123057,-82.37956301,Sodexo,0
Sodexo - Imagine Elementary at Avondale,"18052 NORTH BLACK CANYON HIGHWAY, PHOENIX, AZ",33.65135903,-112.1152467,Sodexo,0
Sodexo @ DTCC Tampa,"18301 BERMUDA GREEN DR, TAMPA, FL",28.13239901,-82.37537198,Sodexo,0
Anserteam @ Belmont University,"1900 BELMONT BOULEVARD, NASHVILLE, TN",36.13449699,-86.79393398,Sodexo,0
Sodexo - Phoenix Children's Hospital,"1919 E THOMAS RD, PHOENIX, AZ",33.47920432,-112.0418314,Sodexo,0
Sodexo at Saint Louis University,"20 NORTH GRAND BLVD, ST. LOUIS, MO",38.63664102,-90.23134602,Sodexo,0
Sodexo @ St. Catherine University,"2004 RANDOLPH AVENUE, SAINT PAUL, MN",44.92480199,-93.18381098,Sodexo,1
Sodexo at Atrium Health Cleveland,"201 E GROVER ST, SHELBY, NC",35.30311299,-81.53627801,Sodexo,0
Sodexo @ Olathe Medical Center,"20333 WEST 151ST STREET, OLATHE, KS",38.85236698,-94.82297797,Sodexo,0
Rum room miami beach,"2100 WASHINGTON AVE, MIAMI BEACH, FL",25.797015,-80.13254501,Sodexo,0
Anserteam @ BMW Financial Services,"5550 BRITTON PKWY, HILLARD, OH",40.06695898,-83.13559802,Sodexo,1
Anserteam @ BMW Financial Services,"1400 CITY VW DR, COLUMBUS , OH",39.97355001,-83.04080599,Sodexo,1
Anserteam @  Clark Atlanta University,"223 JAMES P BRAWLEY DR SW, ATLANTA, GA",33.75056198,-84.41303301,Sodexo,0
Sodexo for Senior Living Minneapolis & St. Paul,"2235 ROCKWOOD AVE, ST. PAUL, MN",44.90291998,-93.16394997,Sodexo,0
Sodexo @ ADP - Orlando,"2301 MAITLAND CENTER PKWY, MAITLAND,, FL",28.635408,-81.393443,Sodexo,0
Sodexo at Maricopa County Community College District (MCCCD),"2411 W. 14TH ST, TEMPE, AZ",33.41301335,-111.9757944,Sodexo,0
 Sodexo - University of Advanced Technology,"2625 W BASELINE RD, TEMPE, AZ",33.37773421,-111.9759689,Sodexo,0
Sodexo at Atrium Health Rehabilitation Mount Holly,"275 BEATTY DR, BELMONT, NC",35.263093,-81.030087,Sodexo,0
Anserteam @ Fiserv Alpharetta,"2900 WESTSIDE PKWY., ALPHARETTA, GA",34.086553,-84.274325,Sodexo,1
Sodexo @ Lubrizol,"29400 LAKELAND BOULEVARD, WICKLIFFE, OH",41.61220101,-81.47900304,Sodexo,0
Anserteam @ Genuine Parts Corporate HQ,"2999 WILDWOOD PKWY, ATLANTA, GA",33.91082699,-84.45590502,Sodexo,1
Sodexo at Atrium Health Stanly,"301 YADKIN ST, ALBEMARLE, NC",35.36449999,-80.194915,Sodexo,0
Las Vegas Convention Center,"3150 PARADISE RD, LAS VEGAS, NV",36.13164002,-115.15135,Sodexo,1
Sodexo | HCA Poinciana Medical Center,"325 CYPRESS PKWY, KISSIMMEE, FL",28.14487099,-81.47746798,Sodexo,0
Sodexo @ Grand Canyon University,"3300 W CAMELBACK RD, PHOENIX, AZ",33.51578253,-112.1334066,Sodexo,1
Sodexo @ Crisler Center,"333 E STADIUM BLVD, ANN ARBOR, MI",42.26508099,-83.74650197,Sodexo,0
Sodexo | ProMedica  Heartland Sylvania OH,"333 NORTH SUMMIT STREET, TOLEDO, OH",41.65201899,-83.53357003,Sodexo,0
Sodexoo | Lynn University,"3601 N MILITARY TRL, BOCA RATON, FL",26.38456999,-80.12553397,Sodexo,1
Petersen Events Center - Chartwells,"3719 TERRACE STREET, PITTSBURGH, PA",40.44337553,-79.96145378,Sodexo,0
Sodexo @ HCA Clear Lake Regional | Webster TX,"3737 BUFFALO SPEEDWAY, HOUSTON, TX",29.73309001,-95.42811199,Sodexo,0
Rock Hill Schools - Sodexo,"386 E BLACK STREET, ROCK HILL, SC",34.92188098,-81.02297504,Sodexo,0
Anserteam @ Bethel University,"3900 BETHEL DR, BRUSHABER COMMONS, BC351, SAINT PAUL, MN",45.057866,-93.16231299,Sodexo,1
Sodexo at Securian Financial Group,"400 ROBERT STREET NORTH, ST. PAUL, MN",44.94894602,-93.09143,Sodexo,0
Sodexo @ HCA Southeast Medical Center,"4000 SPENCER HWY, PASADENA, TX",29.66116901,-95.18382502,Sodexo,0
UNIVERSITY OF TAMPA - Housekeeping Sodexo,"401 W. KENNEDY BLVD. , TAMPA, FL",27.94751799,-82.46586703,Sodexo,0
Sodexo | Lindner Center of HOPE,"4075 OLD WESTERN ROW ROAD, MASON, OH",39.331235,-84.29502797,Sodexo,0
Sodexo at Concordia University Ann Arbor,"4090 GEDDES RD, ANN ARBOR, MI",42.27342199,-83.68236499,Sodexo,0
Anserteam @ University of the Incarnate Word,"4301 BROADWAY, SAN ANTONIO, TX",29.46694502,-98.465852,Sodexo,0
Sodexo at Atrium Health Lincoln Medical Center,"433 MCALISTER ROAD, LINCOLNTON, NC",35.489704,-81.20374897,Sodexo,0
Anserteam @ Desert Willow Conference Center,"4340 E COTTON CENTER BLVD, PHOENIX, AZ",33.40323649,-111.9893057,Sodexo,1
"Sodexo at Solvay Specialty Polymers USA, LLC","4500 MCGINNIS FERRY RD, ALPHARETTA, GA",34.1027566,-84.22216987,Sodexo,0
Sodexo | Catholic Health Services@ St Johns,"4790 N STATE ROAD 7, LAUDERDALE LAKES, FL",26.18356202,-80.202954,Sodexo,0
Sodexo - BALSZ School Disctrict,"4825 E ROOSEVELT ST, PHOENIX, AZ",33.45783424,-111.9773711,Sodexo,0
Sodexo at Pfeiffer University,"48380 US-52, MISENHEIMER, NC",35.48240095,-80.28099547,Sodexo,0
Sodexo at Atrium Health Carolinas Rehabilitation,"487 LAKE CONCORD RD NE, CONCORD, NC",35.44270801,-80.60108501,Sodexo,0
Sodexo at Atrium Health Rehabilitation Northeast,"487 LAKE CONCORD ROAD, CONCORD, NC",35.44270801,-80.60108501,Sodexo,0
Johns Hopkins All Children's Hospital- Sodexo EVS Dep.,"501 6TH AVE S, ST. PETERSBURG, FL",27.76489401,-82.64063801,Sodexo,0
Sodexo at Atrium Health Behavioral Health Charlotte,"501 BILLINGSLEY RD, CHARLOTTE, NC",35.19195902,-80.80377704,Sodexo,0
Sodexo at ManorCare Whitehall,"505 WEYMAN RD, PITTSBURGH, PA",40.36163602,-79.99988697,Sodexo,0
Anserteam @ Dining Services UMKC (The University of Missouri–Kansas City),"5100 ROCKHILL RD, KANSAS CITY, MO",39.03350599,-94.57633402,Sodexo,1
Inspired Living Tampa- Sodexo,"5130 KELLY RD,, TAMPA, FL",27.99528801,-82.56610604,Sodexo,0
Sodexo at UPS World Headquarters,"55 GLENLAKE PKWY NE, ATLANTA, GA",33.94347601,-84.35978404,Sodexo,0
Sodexo at ADP - Alpharetta,"5800 WINDWARD PKWY, ALPHARETTA, GA",34.090638,-84.25574802,Sodexo,0
Sodexo at Emerson,"6021 INNOVATION BLVD, SHAKOPEE, MN",44.79120698,-93.44308101,Sodexo,0
Sodexo @ Cox Communications HQ,"6205 PEACHTREE DUNWOODY RD, SANDY SPRINGS, GA",33.925218,-84.35034702,Sodexo,0
Sodexo/SSM Health Care,,18.77609574,100.773935,Sodexo,0
SSM Health,,18.77609574,100.773935,Sodexo,0
Sodexo at Ecolab Schuman Campus,"655 LONE OAK DR, EAGAN, MN",44.85201295,-93.11399819,Sodexo,0
UCF Lake Nona Medical Center - Sodexo,"6850 LAKE NONA BOULEVARD, ORLANDO, FL",28.36817499,-81.28036099,Sodexo,0
Sodexo at Atrium Health Kings Mountain Medical Center,"706 W. KINGS ST, KINGS MOUNTAIN, NC",35.24157599,-81.35672297,Sodexo,0
Sodexo at Ameriprise Financial Corporate HQ,"707 2ND AVE S, MINNEAPOLIS, MN",44.975196,-93.26910003,Sodexo,0
Inspired Living Ivy Ridge - Sodexo,"7179 40TH AVE N, ST. PETERSBURG, FL",27.80847299,-82.73809498,Sodexo,0
Eating Recovery Center | Sodexo,"7351 EAST LOWRY BOULEVARD, DENVER, CO",39.71767699,-104.90253,Sodexo,1
Sodexo @ HCA OVIEDO MEDICAL CENTER,"8300 RED BUG LAKE RD, OVIEDO, FL",28.65793529,-81.22745156,Sodexo,0
Sodexo at American Leadership Academy,"850 WEST COMBS ROAD, QUEEN CREEK, AZ",33.21999728,-111.57496,Sodexo,0
Sodexo at Crown College Minneapolis,"8700 COLLEGE VIEW DRIVE, SAINT BONIFACIUS, MN",44.88492399,-93.74288199,Sodexo,0
Sodexo at Atrium Health University City,"8800 N TRYON ST, CHARLOTTE, NC",35.30663498,-80.747324,Sodexo,0
Sodexo at Atrium Health University City,"8800 N TRYON ST, CHARLOTTE, NC",35.30663498,-80.747324,Sodexo,0
Sodexo at ManorCare Monroeville,"885 MACBETH DR, MONROEVILLE, PA",40.425428,-79.75714999,Sodexo,0
Sodexo @ Lake Highland Preparatory School,"901 HIGHLAND AVE,, ORLANDO,, FL",28.55862901,-81.37201198,Sodexo,0
Sodexo North Central University Minneapolis,"910 ELLIOT AVE, MINNEAPOLIS, MN",44.96938902,-93.26146504,Sodexo,0
Sodexomagic,"9100 WILSHIRE BOULEVARD, BEVERLY HILLS, CA",34.066721,-118.390213,Sodexo,0
Sodexo at Atrium Health Northeast,"920 CHURCH ST. NORTH, CONCORD, NC",35.436349,-80.60217701,Sodexo,0
Sodexo at Salesforce Tower Atlanta,"950 EAST PACES FERRY RD NE #2800, ATLANTA, GA",33.84708299,-84.357362,Sodexo,0
Sodexo @ USAA TAMPA CROSSTOWN,"9527 DELANEY CREEK, BLVD, TAMPA, FL",27.93243098,-82.34790499,Sodexo,0
Sodexo @ UTMB,"301 UNIVERSITY BLVD, GALVESTON, TX",29.311137,-94.77792801,Sodexo,0
Sodexo @ Marathon Cafe San Antonio,"19100 RIDGEWOOD PKY, SAN ANTONIO, TEXAS",29.61583599,-98.45889301,Sodexo,0
Sodexo Tampa General Linen Services,"1 TAMPA GENERAL CIR, TAMPA, FL",27.93845401,-82.45970901,Sodexo,0
