Office Name,Address,Latitude,Longitude
UpShift Atlanta,"2250 N Druid Hills Rd, Suite 238,  Atlanta, GA 30329",33.82941699765129,-84.33104500376203
UpShift Charlotte,"756 Tyvola Rd, Suite 111, Charlotte, NC 28217 ",35.16320900766328,-80.88274696882942
Upshift Cincinnati ,"110 Boggs Ln,Suite 288, Cincinnati, OH 45246 ",39.28495298106455,-84.47252700313578
UpShift Cleveland,"6500 Rockside Rd, Suite 140, Independence, OH 44131",41.39432601229956,-81.64523302654048
UpShift Columbus ,"5300 E Main St, Suite 100, Whitehall, OH 43213",39.95535398365715,-82.85729503392116
Upshift Dallas ,"2351 West Northwest Hwy, Suite 3295, Dallas, TX, 75220",32.861255003540435,-96.88571195904431
UpShift Detroit ,"1000 Republic Drive, Suite 540, Allen Park, Michigan 48101",42.29581801327683,-83.20158698745146
UpShift Ft Lauderdale ,"1001 NW 62nd Street, Suite 406, Fort Lauderdale, FL 33309",26.2039569887351,-80.1586780232185
UpShift Houston ,"2656 S Loop W, Suite 436, Houston, TX 77054, USA",29.679435985013583,-95.42169899466526
UpShift Indinapolis ,"2345 S Lynhurst Dr, Suite 214, Indianapolis, IN 46241",39.73219398396657,-86.24952400394227
UpShift Kansas City ,"5800 Foxridge Dr, Suite 295, Mission, KS 66202",39.023338988899866,-94.66704498728134
UpShift Las Vegas ,"1771 East Flamingo Road, Unit 107 B, Las Vegas NV 89119",36.113237005711184,-115.12904500361954
UpShift Miami,"7855 NW 12th St, Suite 205, Doral, FL 33126, US",25.783499016325692,-80.32310196213568
UpShift Minneapolis /St Paul ,"7505 Metro Blvd, Suite 330, Edina, MN, 55439, USA",44.8664589947399,-93.35262200485572
UpShift Orlando,"5750 Major Blvd, Suite 278, Orlando, FL 32819, United States",28.478397018498924,-81.4552100009542
UpShift Phoenix ,"2600 N 44th Street Suite B-2, Phoenix AZ 85008",33.47679372573123,-111.98821168951142
UpShift Pittsburgh,"300 Fleet Street, suite 105 Pittsburgh, PA 15220",40.421097995909435,-80.04828299397988
UpShift San Antonio,"1603 Babcock Rd, Suite 252, San Antonio, TX 78229, USA",29.492321982743363,-98.56879501536898
UpShift St Louis ,"4433 Woodson Rd, Suite 230b, St. Louis, MO 63134, USA",38.73147801902681,-90.3583610199198
UpShift Tampa,"1211 N Westshore Blvd, Suite 310, Tampa, FL 33607, USA",27.95447501258667,-82.5230730150468
UpShift Toledo ,"1446 Reynolds Road, Suite 306, Maumee, Ohio 43537",41.584895998977544,-83.66389001890266
